Index,Valve,Schematic port,Physical port,description,python port,,,,,,,,,,,,,switch connections
,A,1,1,in ND96,3,,,,,,,,,,,,,Bout:oocyte; ND96:watse
,A,,1.5,closed,4,,,,,,,,,,,,,
,A,2,2,out Oocyte,5,,,,,,,,,,,,,ND96:oocyte; Bout:waste
,A,,2.5,closed,6,,,,,,,,,,,,,
,A,3,3,in B,7,,,,,,,,,,,,,Bout:oocyte; ND96:watse
,A,,3.5,closed,8,,,,,,,,,,,,,
,A,4,4,out waste,1,,,,,,,,,,,,,ND96:oocyte; Bout:waste
,A,,4.5,closed,2,,,,,,,,,,,,,
,B,2,1,in F1,1,,,,,,,,,,,,,
,B,,1.5,closed,2,,,,,,,,,,,,,
,B,1,2,closed,3,,,,,,,,,,,,,
,B,,2.5,closed,4,,,,,,,,,,,,,
,B,6,3,closed,5,,,,,,,,,,,,,
,B,,3.5,closed,6,,,,,,,,,,,,,
,B,5,4,closed,7,,,,,,,,,,,,,
,B,,4.5,closed,8,,,,,,,,,,,,,
,B,4,5,in ND96,9,,,,,,,,,,,,,
,B,,5.5,closed,10,,,,,,,,,,,,,
,B,3,6,input from D2,11,,,,,,,,,,,,,
,B,,6.5,closed,12,,,,,,,,,,,,,
,C,3,1,closed (change this to an in),1,,,,,,,,,,,,,
,C,,1.5,closed,2,,,,,,,,,,,,,
,C,4,2,sample 1,3,,,,,,,,,,,,,
,C,,2.5,closed,4,,,,,,,,,,,,,
,C,5,3,sample 2,5,,,,,,,,,,,,,
,C,,3.5,closed,6,,,,,,,,,,,,,
,C,6,4,sample 3,7,,,,,,,,,,,,,
,C,,4.5,closed,8,,,,,,,,,,,,,
,C,7,5,sample 4,9,,,,,,,,,,,,,
,C,,5.5,closed,10,,,,,,,,,,,,,
,C,8,6,sample 5,11,,,,,,,,,,,,,
,C,,6.5,closed,12,,,,,,,,,,,,,
,C,9,7,sample 6,13,,,,,,,,,,,,,
,C,,7.5,closed,14,,,,,,,,,,,,,
,C,10,8,sample 7,15,,,,,,,,,,,,,
,C,,8.5,closed,16,,,,,,,,,,,,,
,C,2,9,sample 8(change this to air),17,,,,,,,,,,,,,
,C,,9.5,closed,18,,,,,,,,,,,,,
,C,1,10,in ND96,19,,,,,,,,,,,,,
,C,,10.5,closed,20,,,,,,,,,,,,,
,D,1,1,in ND96,1,,,,,,,,,,,,,
,D,,1.5,closed,2,,,,,,,,,,,,,
,D,2,2,out to B6,3,,,,,,,,,,,,,
,D,,2.5,closed,4,,,,,,,,,,,,,
,D,3,3,in from sample loop (D6),5,,,,,,,,,,,,,
,D,,3.5,closed,6,,,,,,,,,,,,,
,D,4,4,out to vacuum,7,,,,,,,,,,,,,
,D,,4.5,closed,8,,,,,,,,,,,,,
,D,5,5,input from E(out),9,,,,,,,,,,,,,
,D,,5.5,closed,10,,,,,,,,,,,,,
,D,6,6,out to sample loop (D3),11,,,,,,,,,,,,,
,D,,6.5,closed,12,,,,,,,,,,,,,
,E,3,1,closed (change this to an in),1,,,,,,,,,,,,,
,E,,1.5,closed,2,,,,,,,,,,,,,
,E,4,2,sample 1,3,,,,,,,,,,,,,
,E,,2.5,closed,4,,,,,,,,,,,,,
,E,5,3,sample 2,5,,,,,,,,,,,,,
,E,,3.5,closed,6,,,,,,,,,,,,,
,E,6,4,sample 3,7,,,,,,,,,,,,,
,E,,4.5,closed,8,,,,,,,,,,,,,
,E,7,5,sample 4,9,,,,,,,,,,,,,
,E,,5.5,closed,10,,,,,,,,,,,,,
,E,8,6,sample 5,11,,,,,,,,,,,,,
,E,,6.5,closed,12,,,,,,,,,,,,,
,E,9,7,sample 6,13,,,,,,,,,,,,,
,E,,7.5,closed,14,,,,,,,,,,,,,
,E,10,8,sample 7,15,,,,,,,,,,,,,
,E,,8.5,closed,16,,,,,,,,,,,,,
,E,2,9,sample 8(change this to air),17,,,,,,,,,,,,,
,E,,9.5,closed,18,,,,,,,,,,,,,
,E,1,10,in ND96,19,,,,,,,,,,,,,
,E,,10.5,closed,20,,,,,,,,,,,,,
,F,2,1,out B1,3,,,,,,,,,,,,,
,F,,1.5,closed,4,,,,,,,,,,,,,
,F,3,2,in sample loop (F5),5,,,,,,,,,,,,,
,F,,2.5,closed,6,,,,,,,,,,,,,
,F,4,3,out to vacuum,7,,,,,,,,,,,,,
,F,,3.5,closed,8,,,,,,,,,,,,,
,F,5,4,in E,9,,,,,,,,,,,,,
,F,,4.5,closed,10,,,,,,,,,,,,,
,F,6,5,out to sample loop (F2),11,,,,,,,,,,,,,
,F,,5.5,closed,12,,,,,,,,,,,,,
,F,1,6,in ND96,1,,,,,,,,,,,,,
,F,,6.5,closed,2,,,,,,,,,,,,,
